time_start,exchange,market,open,high,low,close,volume
03/04/2016 09:54,BITF,BTC/USD,418.79,418.8,418.79,418.79,0.29364662
03/04/2016 09:55,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.27
03/04/2016 09:56,BITF,BTC/USD,418.79,418.8,418.79,418.79,0.39309572
03/04/2016 09:57,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.27
03/04/2016 09:58,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.26
03/04/2016 09:59,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.28
03/04/2016 10:00,BITF,BTC/USD,418.79,418.8,418.79,418.79,14.25
03/04/2016 10:01,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.25
03/04/2016 10:02,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.24
03/04/2016 10:03,BITF,BTC/USD,418.79,418.79,418.79,418.79,0.26
03/04/2016 10:04,BITF,BTC/USD,418.79,418.8,418.79,418.8,8.59381425
03/04/2016 10:05,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:06,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:07,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:08,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:09,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:10,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.05972946
03/04/2016 10:11,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:12,BITF,BTC/USD,418.79,418.79,418.7,418.74,38.82687466
03/04/2016 10:13,BITF,BTC/USD,418.8,418.8,418.79,418.79,1.49777964
03/04/2016 10:14,BITF,BTC/USD,418.8,418.8,418.8,418.8,2
03/04/2016 10:15,BITF,BTC/USD,418.8,418.8,418.8,418.8,3
03/04/2016 10:16,BITF,BTC/USD,418.8,418.8,418.7,418.79,14.99582124
03/04/2016 10:17,BITF,BTC/USD,418.79,418.79,418.79,418.79,0
03/04/2016 10:18,BITF,BTC/USD,418.8,418.8,418.8,418.8,1
03/04/2016 10:19,BITF,BTC/USD,418.8,418.8,418.8,418.8,2
03/04/2016 10:20,BITF,BTC/USD,418.79,418.79,418.7,418.7,2.5
03/04/2016 10:21,BITF,BTC/USD,418.7,418.7,418.7,418.7,0
03/04/2016 10:22,BITF,BTC/USD,418.7,418.7,418.7,418.7,0
03/04/2016 10:23,BITF,BTC/USD,418.7,418.7,418.7,418.7,0
03/04/2016 10:24,BITF,BTC/USD,418.7,418.7,418.7,418.7,0
03/04/2016 10:25,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.06842808
03/04/2016 10:26,BITF,BTC/USD,418.8,418.8,418.8,418.8,4.61207734
03/04/2016 10:27,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:28,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.67582124
03/04/2016 10:29,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:30,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:31,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:32,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:33,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:34,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:35,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:36,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:37,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.21706628
03/04/2016 10:38,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.012
03/04/2016 10:39,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:40,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 10:41,BITF,BTC/USD,418.8,418.8,418.8,418.8,2.12844848
03/04/2016 10:42,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.15111376
03/04/2016 10:43,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
